OvarianDysfunctionfromOpentarget
RBPMS2
FAR1
TDRD12
TSHR
SP4
SOX30
PRM1
HSD11B1
GATA4
BGLAP
CFAP43
OSTF1
IQCG
SIAH1
LRP2
BAX
CYP11B1
EFCAB5
MOV10L1
SEPTIN12
CCNT2
RESF1
TBCCD1
MN1
RET
EGR4
EFNB2
PPP1CC
ARNT
PPARA
KDM3A
MEIKIN
CYP11B2
DPY19L2P2
DPY19L2P1
DMRTC2
CCDC183
PTK2B
TESMIN
GALNT3
NCOA1
CFAP65
ALK
SPAG16
MIR185
CALCR
RXFP1
NBR1
WDR62
KCNJ6
CCNB1IP1
ANK1
SAFB
PBX1
HSF1
MEI4
ACTL7B
MAJIN
CFAP69
LAMTOR1
TRIM41
FAAP20
SCML2
ELOVL5
CAMK2G
FRMD5
CPA2
ZRSR2P1
ZRSR2
PFKFB4
NPR2
FGF9
HMGA2
NDUFA13
HOXA13
PFN4
TRIM52
LIPE
MAP2
ADSL
RNF216
SULF2
TCL1A
WEE2
ZNF628
BCL2L1
LZTFL1
MAP7
CCNE2
GMCL1
GMCL2
MYBL1
PAX6
TNFSF11
RXFP2
PDE11A
SPP1
TLR4
MKRN2
ABCB4
FECH
STYXL1
IL20RA
MVK
IMMP2L
PPP4R1
PTEN
RBM5
KIF6
SPAG4
SYCP2
SULT1E1
GRID2
ETV5
FOXC1
SOX8
TCIRG1
CFAP61
MEIOSIN
FAH
XKR8
FAM170A
TEX19
CEP290
ACSBG1
KCTD19
CXCL12
LRRK1
NCOA3
RABL2A
RABL2B
SIRT1
CSNK2A2
NANOS2
GJE1
FZD9
RBM46
CCS
DCSTAMP
GPRC6A
TNFAIP3
CFAP44
SDR9C7
PDE6B
FHL2
NEMP1
CEP128
FOXR1
TMEM203
PRKAR1A
RTP2
ZNF143
RPS6KA3
SMARCA2
WNT5B
CBR4
MAST2
OCA2
FBXO22
BBOF1
ERICH2
GAS2L2
S1PR3
ZSCAN21
THRA
MCPH1
PPARG
ORAI1
TMEM178A
SELENOW
NECTIN2
CD46
TMEM95
CLGN
ADAM3A
IZUMO1
DCST2
SPACA6
DCST1
PHEX
KMT2C
LMNA
CRH
RAX
LGR4
GJA8
PRNP
KIF7
MMEL1
TCF21
CAMK4
SLC4A4
WWOX
ZFPM2
CSF1
STRA8
CNMD
WDFY2
FREY1
ADAM1A
CDKN2A
HSCB
DNAH1
SPATA2
PRICKLE1
CACNA1F
GCK
FMN1
ACVR1B
JDP2
IL5
PLCD4
HIP1
GINS4
PMIS2
FOXP3
FANCM
CCDC38
C11orf86
UGT1A6
PLS3
AGPAT3
LDLR
BMERB1
DNAH10
CFAP119
FANCD2
MEIG1
HR
SPMAP2
TBX4
HADHA
PIK3C2G
CNR1
PAX8
CHTOP
CCDC117
ASH1L
SMPD3
NAV3
CLDN18
BRD7
IP6K1
PRDM5
ENO4
CCDC42
PAFAH1B1
ADAM19
LPAR4
SPATA20
AGBL5
DRC7
KBTBD11
AKR1A1
PSMA8
UNC5C
SLC6A2
IQCH
CPT1C
PDCL2
KATNB1
LRGUK
BMP8B
CUL4A
APOB
NEDD4
HMGA1
GALP
RPGRIP1L
CFAP157
DPY19L1
AGFG1
FADS2
H3-4
NR1H2
TAFAZZIN
TPST2
HADH
DDHD1
TRIM37
TBC1D20
TP63
HSPBP1
GRAMD1B
ADGB
RNF138
HEY2
DNAH2
SETX
SPAST
SLC27A4
MIR122
SPATA6
BAZ1A
LPAR3
TDRD1
FHL5
TNP2
BMP4
NLRP3
CDC20
AVPR1B
BHMT
KNSTRN
PLD6
ILDR1
BAP1
PEX6
ROBO1
CFD
SYCP3
HENMT1
GDAP1
BRCA2
BOLL
STX2
NOTCH3
RUNX2
CDC14A
CETN1
BSCL2
FKBP6
SPINK2
TRPM3
TAS2R13
MPZ
KATNAL1
TAF7L
MAST4
INSL6
P3H1
CDK5RAP2
CEP131
PBLD
RNF17
UBE2B
GPAT2
DRC1
TASP1
NF1
ENHO
TDRD9
HIPK4
MTHFR
ZFP42
CNBD2
ZBTB16
KMT2B
TCFL5
BRCA1
LRRC46
TOPAZ1
ZPBP
NUTM1
HSPA4
GATA5
AXDND1
ENTPD5
HSF5
CDC73
SPMIP7
STUB1
ALKBH5
PANK2
RIMKLB
NUP210L
G6PC1
RNF212
EPB41L2
DMRT1
DCAF17
SPOCD1
ZDHHC19
ODF4
SUN3
TGFA
ABCA1
PAFAH1B2
PICK1
MLX
ARL4A
NKD1
DYNLT2
NXF5
MRNIP
FREM2
TSPYL5
CES1
CCDC146
ADGRG1
HORMAD2
AKR1B1
DLG1
ADIPOR2
RPL39L
NXF2
NXF2B
TMF1
FBXO47
SLC12A1
YBX3
NKAPL
BEND2
CEACAM5
BTBD18
PUM1
MIR202
BCORL1
TTLL9
MIEF1
TRABD
GFM2
TEX14
PIWIL4
SBF1
C3orf62
TTC21A
PRKAA2
CLDN2
ARMC5
SHOC1
RPL10L
PTPRS
FTX
KIAA0319L
ALDH1A3
CHRND
KGD4
CCBE1
DYNC1LI1
BMP7
MIP
EHD1
PSG2
CEACAM3
CEACAM7
SMAP2
POC1B
PRSS50
ACKR1
PIWIL2
MAN2A2
M1AP
HOXD12
MGAT4A
SPAG17
CACNA1A
RTP1
KLF3
CUX1
GTSF1
ZNF541
SSMEM1
EHD4
SLC4A2
ZMYM3
LMX1A
RAPGEF6
CEP72
UBE2J2
KLHL10
TDRD6
QRICH2
SYBU
CLEC4C
OTOL1
CLEC4A
CST8
CIB4
IGFBP1
AGER
EIF4G3
PDGFRA
NCOA2
KCNG4
RAD18
CCDC62
RIMBP3
RIMBP3C
RIMBP3B
MORC1
CCDC157
RAD50
CIB1
PDE8A
FAM210A
VDAC3
CDK16
ADGRG2
ANXA1
EYA4
CRY1
ASB17
CDKN1C
CD68
OSBP2
IFNG
GP1BB
KLHL3
SOAT1
PRSS21
CYCTP
CATSPER3
SMURF1
RBMXL2
RBMXL3
GPI
NFE2L2
KCTD13
GAS5
TRIM25
TDRD5
PRAMEF9
PRAMEF15
C3orf20
PRAMEF12
PRAMEF6
PRAMEF33
PRAMEF13
PRAME
PRAMEF25
PRAMEF26
PRAMEF4
PRAMEF8
PRAMEF20
PRAMEF18
PRAMEF2
PRAMEF14
PRAMEF7
PRAMEF5
PRAMEF11
PRAMEF19
PRAMEF17
PRAMEF10
PRAMEF27
PRAMEF1
RXRB
SQSTM1
ABCC2
LMTK2
PRSS56
SRD5A2
PRPH2
SHCBP1L
POMC
GHRH
HMGB2
AGO4
SLC25A31
HOOK1
KLK13
KREMEN1
C22orf31
EMID1
XBP1
ZNRF3
TM6SF2
GFRA3
ANKRD52
C1QTNF12
AKT1
GYS2
SBNO2
DLEC1
RAB33B
FSIP1
SLC22A16
DNAH8
MBD1
TLE6
GKN1
C1QL2
PIAS2
BRD9
DNAJA1
RAD51AP2
ASIP
ATAT1
NUPR1
RHOXF1
ARMC2
GDF5
FANCE
CYP27A1
SLC25A13
TULP2
SPPL2C
HK1
OTX2
AIP
EPHB2
SFRP2
GTF2A1
FABP4
PRDX4
BMP3
GOPC
SLC4A1
MAEL
GOLGA2
ARL2BP
GLMN
GPSM3
SAPCD1
CNNM2
ARRDC2
TTC39B
CNNM2
UBE2Q2
ARRDC2
FCMR
TXNIP
IL7
CHD5
FANCB
PRKAB1
CREB3L1
ORM2
ORM1
IL6
SERPINA5
INPP5B
CABCOCO1
FOXO1
TBC1D21
SIDT2
MFSD14A
MRGPRE
CFAP70
PPP1R3C
CT55
HSD17B13
COA5
EIF2B4
NDRG3
SPATA46
SEPTIN4
GHRHR
BEST1
CTHRC1
CCDC159
NCDN
EMC10
ATP6V1B1
CSTF2T
MC4R
GGNBP1
MNS1
SGMS1
PATL2
TULP1
ARRDC5
GAB2
CD40LG
EVX2
WDR48
PKD1
SUN5
TSKS
IFT56
LAMA1
EIF2B2
CLIP1
TOB2
GKAP1
DKK2
ING2
GAL3ST1
CFAP57
MIR205HG
RSPH6A
TYMS
DNHD1
IL2RB
CEP78
TMEM232
FAM32A
RELB
TEX15
IL6R
BNIP3
WIPF3
KLF10
MEX3B
HSD3B1
CHGB
NCOA5
CREB3L4
H1-7
GBA2
CD4
SIRT3
LRAT
CHTF18
CRTAP
CRYAA
SPACA1
CLDN16
PRSS55
MTTP
PSME4
NNT
ICA1L
AKAP4
CEBPA
PARP11
BUB1
STK26
TMCO3
SEC61A1
SOD2
HOXD11
TMEM174
SCAI
SPAG6
INHBB
ODF1
E2F1
EWSR1
GK
SLCO6A1
CD59
IDE
GK2
SCP2
REP15
BABAM2
CFAP36
NEURL1
COL2A1
DBH
RS1
HSD3B2
ERCC6L
CDS1
C1QTNF1
BECN1
TDRKH
CBX2
CATSPERD
STK39
DDX24
DCUN1D1
CNGA1
AGTPBP1
FRZB
CC2D2A
NLRP1
GIGYF2
ELOVL6
XPO5
PRDM1
GALNTL5
CRB1
COX7B2
CLCN2
PLSCR3
ADCY10
TMEM240
PRKAG1
PBX3
GPR4
SESN2
INSR
MAP3K8
IGF1
RSPH1
AAAS
CFAP58
IRS1
ADM2
MB21D2
FFAR4
NEIL1
RNF133
CEP19
KBTBD2
CES2
LANCL1
ALAD
CAPZA3
HPRT1
RERE
RLN2
NPC1
CCDC34
RLN1
KL
PHF6
XYLT2
PXMP2
RPL17
LPL
HNF4A
SPEM1
INPP4B
SPTB
HELZ2
RABGAP1
PHF13
TRIM13
LCN8
GORASP2
SOD1
FSIP2
GPC2
NR1H3
CTSD
SGTB
BRD2
TMPRSS12
ACP5
OVOL1
PHOSPHO1
STEAP4
NDST1
SYPL1
DGUOK
PRKCQ
GAS1
PEX1
LRP4
QRICH1
EMX1
DNAH6
APOM
SLC40A1
APOC1
EPB41
UBE2D2
UBE2D3
SNAP25
ROR2
CMTM4
KCTD1
KDM4D
GPX4
EIF2S2
EIF2B3
EIF2B1
EIF2B5
STYX
HINT2
ESRRA
ATP1A4
CLDN4
USP1
WDR11
NPC2
MAF
ARID5B
IL21
STRA6
PPARGC1B
USP15
KCNK1
RUNX3
ACD
SPEF2
TSSK6
STAT5B
EPHB6
SPARCL1
DZIP1
TRPV6
ISLR
KRT8
CREBBP
ADAD1
ANKFY1
CCIN
GSK3A
VAMP2
PIWIL1
GATM
ELAPOR1
CLP1
NR1H4
SSR1
CRYGC
PCNT
SCX
FGFR1OP2
CRYBA1
ALOXE3
VWC2L
SPTAN1
EXTL3
PRCP
PEX19
COX6B1
C7orf25
DNAJC5G
JADE3
PDCD7
CRYGD
MT-TL1
MC2R
LMOD3
RALGAPA1
DHCR24
KATNIP
HOATZ
COL18A1
CIITA
TACSTD2
CIP2A
LCN2
CES5A
PLAAT3
RORA
SOCS2
NPRL3
SOAT2
KIF21A
MAP1B
CYB5R4
PKD2
CLTRN
RAPGEF3
GCGR
TENT5D
NDC1
SLC4A11
EQTN
ABCG8
FABP3
NR2E1
PCK1
PRKAB2
SLC13A1
EP300
GPAM
SLC26A1
CPLANE1
HEXB
CRABP1
SLC22A1
CRELD2
RINT1
HBEGF
NECTIN3
GNA11
SLC14A1
TRDMT1
JAG1
MGP
ATP6V1H
CBS
NIBAN3
CPE
TANGO2
MSTN
NLGN3
ETNK1
HPCAL4
TRAFD1
PKLR
RETREG3
PHKB
P2RX1
CREM
PEMT
SLC5A10
FGFR2
PDE3B
SLC2A9
PPP1R13L
PLA2G12B
RHCG
GNMT
ATP2B2
HTR1B
MCHR1
DNAH17
C3orf70
EDARADD
NNMT
ATP6V0D2
ECHDC1
ENTR1
GJB4
SPRR3
MYO1H
DBR1
MRPL51
TOE1
BMP2K
CNOT3
TM4SF4
PTP4A2
CCDC154
FCGR2A
CD14
FCGR2C
FCGR2B
ADAM17
TGFBR3
PPT1
BBOX1
ADA
INS
PLOD1
TIMP3
IL18
HMGB1
IGFBP3
IKZF2
KLK3
PDK4
FBP1
IL1B
CACNA1C
TBXT
TBXAS1
IGF2
RAD51
MKI67
TRH
CSH2
YBX1
NAT10
PIEZO1
EREG
FTO
FAS
GRP
ADAMTS16
LAMC1
KHDC3L
PPRC1
ADIPOQ
PROS1
PSAT1
PLAG1
PIK3CG
PIK3CA
PIK3CD
GABPA
TRERNA1
DPP4
TP53
FXN
SHBG
CHST3
SHOX
SHOX
NPPB
TNFRSF11B
FAP
SHOX2
RARRES2
CMKLR1
ENO2
DLEU1
ACVR2B
GABBR2
GABBR1
NFKB1
ADAMTS19
RASSF1
PEPD
ERBB2
MTNR1A
NAMPT
GRN
FKBP5
CRP
BRSK1
HK3
PELI1
RPL17-C18orf32
SNCA
PDCD1
PPP1R3A
PRH2
PCSK1
TMEM37
FLT1
NR4A1
MALAT1
NOTCH1
CD69
ERAS
NGF
YY2
CITED2
TSIX
CD8A
ACBD5
LGALS9
FMR1-AS1
XIAP
FGF2
CTNNB1
IL10RA
MTOR
MUC16
PHLPP1
PAX7
STK11
GCG
CALCA
ICAM1
GLP1R
NEAT1
FNDC5
VTN
HNRNPA1
ZPBP2
ITGB5
TNFRSF1B
TMPO
APLN
BCL2
SF1
DAB2IP
NOX4
SLC5A2
NSDHL
DHRS11
NTRK2
RETN
SERPINA7
FASLG
NUP160
CD44
SLC17A5
SRSF1
HP
BMPR2
MFN2
IL34
IL1A
IL17A
ENG
RPE65
MAPK3
UVRAG
CKAP4
SAV1
MANF
CMKLR2
SORBS1
PTGDS
A4GALT
MAP3K20
APLNR
ACE2
PTPN22
GPR31
ATF4
PTH
TGFB1
UFL1
PAQR7
CLPB
ROMO1
PLA2G7
RNPC3
POU5F1P4
POU5F1P3
CASP1
CD79A
PSMB5
PCMT1
ERCC2
CTLA4
ALB
GPT
DACH2
FRMD7
IL33
IL22
ACE
HMOX1
TMEM97
FOXO4
SERPINE1
PDK1
RPS4X
LGR6
TCEAL1
CDKN1A
NSG1
H3P16
AHSG
ZNF711
ATG9A
RPGR
EFHC2
HIF1A
EHMT1
IGFBPL1
CLOCK
ATF3
TERT
PROK1
CCR9
GATA1
WNT10A
ENO1
MCAM
DDIT3
CXCR3
BPESC1
APOA1
SULT2A1
H19
REN
CCL2
UGT2B15
MAOB
HAX1
LRPPRC
KEAP1
DROSHA
PAPSS2
TSC1
DCPS
SLURP1
CAT
TPO
YAP1
RELA
PCSK9
UCA1
CALR
ANGPT2
ABCA4
PSMB1
PAEP
MRPS7
HEPHL1
MMP9
WNK1
GORASP1
SYT1
DKK1
MBL2
ASAH1
AGT
MYL9
XRCC1
PPP6C
BGN
CSF1R
HSPA5
CSF3
PTGS2
APBA3
VCAN
KLF4
DDX4
RPS2
MSLN
EGF
BOP1
PLA2G4A
CCDC201
MAPK8
METTL3
CXCR4
GNAS
ARSL
CYP2C19
PRKN
YY1AP1
IL2RA
GAL
GHRL
PLIN1
EGFR
CARTPT
CDX2
CASP8
FCN3
RPS4Y1
CD28
CHMP1B
FUT1
TSPY1
TSPY3
TGFBR2
CCND1
GZMB
ANGPT1
C1QL1
RAN
HFE
PRF1
DLX5
MT-ATP6
SOX9
HOTAIR
TSPY10
SLC2A3
KDM5C
LBX1
CSF2RA
BTF3P11
CRELD1
DIO3
ISG20
SOX14
MMP2
FBXO31
RAD51B
SLC8A1
ZNF275
EPG5
SMC3
ZFAT
PRDX2
NIPBL
EEF1A1
VCAM1
CLUAP1
VPS51
GPC4
YWHAZ
GGCT
IGFALS
FBXW7
DLX6
PPARGC1A
ETS1
FADD
GC
LORICRIN
PHB1
MYO9B
SFTPD
MSC
ZFP92
CYP4V2
TRIB3
MMP7
GOT2
GAD1
PDHB
PLA2G1B
DNASE1L3
ACTB
BMPR1A
DIS3
PLB1
CLDN14
ESM1
CD274
NF2
NPPC
CYP4F3
TERF2
KLF6
PNPLA8
TRIM28
ADCY3
CYLC2
PITRM1
CTNNA3
PFKP
MIR4501
FHIT
MSR1
CDH19
OSBPL6
SLC2A14
OCLN
PLD5
AADAC
MARVELD2
BCO1
GTF2H2C
GLDN
DDX53
HS6ST3
CADM2
SYT6
PDZD2
KCNN2
SLC24A2
MACROD2
MIR6817
CHD7
DLEU7
MIR1267
OR8J1
NALF1
LINGO2
GOLPH3
RIOK2
GRAMD1C
XK
KDM6A
MAPK1
PCNA
ZFY
GSR
CDC27
PPIG
MAPK14
MUC1
ERN1
HHAT
RABGEF1
PLAT
ADAM12
TERF2IP
SET
GALK1
RAP1A
MARK4
ANXA7
IPP
CYP1A1
VTA1
CYP1B1
MEGF8
PIK3R1
CXCL8
CST12P
DLAT
SNORA62
DBT
SNORD12C
DMD
HLA-G
SLC52A2
USP9X
CASP3
PRKCA
AFMID
ALDH7A1
RAF1
LCN1
AHSA1
GDF6
AIMP2
ITGA2
RNF19A
POLDIP2
TYMP
SCO2
CRK
PRRX2
GRAP2
NR1I2
PON1
F2R
PWAR1
H6PD
ABCC5
MAP3K5
MND1
NPY
MIGA1
ENSG00000174171
MAMLD1
ALDH1A1
IGF1R
XDH
AIRE
RBP4
INHBE
IL4
GSTM1
NPC1L1
MCM6
MCM7
CDCA3
TIPIN
FOXM1
HBP1
CENPA
SERPINA4
MAD2L1
MCM5
AQP9
ZUP1
KDM1A
PLK1
ALOX15
CDCA8
GSTK1
GINS1
TOP2A
MCM2
ENTPD1
STS
PTPRC
FEM1A
EDN1
PISRT1
HGF
B3GNT5
AARS2
PTPN11
PINK1
H2AX
DBP
MOK
TSC2
IL10
STAT3
SSTR2
AIF1
PNO1
SSTR2
GOT1
CD163
LPA
COL11A2
RENBP
NSF
CCR5
NMB
EIF4E
PGF
CASP14
POLR3A
CLDN11
SP7
ESRP1
PSMB3
MOXD1
PARP1
MAP3K15
S100A12
SLC2A5
NUCB2
MCL1
HNF1B
IRF8
UPF3B
FLG
NELFCD
KRT19
UROD
ASMTL
IL1R2
PPIB
GJB2
SLPI
PYCARD
CHKA
EIF4EBP1
CD38
SLC24A3
HSD17B6
SAT1
UBA1
WNT5A
CLTA
MAP3K14
CXXC5
TLR7
MIGA2
GUCY2D
UCP1
TDRD3
NR3C2
SGMS2
FGFR3
ITGA2B
ZFX
ANGPTL8
GFUS
TMSB4X
F10
PDE5A
ATP8B4
DOCK7
CDK15
TET3
MSH6
ENSG00000288534
MAK16
SRSF8
TLK1
SDHA
CTNND1
RMRP
FDXR
ADTRP
PRUNE2
HOMER2
C16orf82
ASRGL1
CCL27
RBPJ
HDAC3
OPRPN
OXCT1
CCL11
TM7SF2
SSB
HBS1L
AOX1
ERF
ACTA2
LILRA3
MYH11
NEK1
ACAT2
CILK1
RBMS3
PLRG1
PTBP1
RAG1
FBXO11
MYD88
PBK
PTP4A1
TMEM121
STAT1
SNAI2
SENP1
RIF1
EBF1
ISG15
GRB10
GPC3
CHMP2B
TBC1D4
AFAP1
PHKA2
BCS1L
EXT2
MT-TP
SNHG5
KRT18
CA9
BCAR1
FAAH2
ACTG1
CYCS
MAP7D2
MLN
XPO1
ATRNL1
AIFM1
CALHM6
PMS2
NFKBIZ
L1CAM
BAD
TSPEAR
SLC11A2
SGSM3
RASIP1
MYO6
USH2A
PDLIM3
CD99
TF
EFS
CTBP1
S1PR2
YPEL3
ABCC8
SIRT2
COL27A1
SHROOM1
DLX4
TLR2
ALPP
CHP1
SUGP1
PPP6R3
POU3F4
PABPN1
RIGI
SIGLEC8
CAMK2A
TALDO1
PRP4K
MACF1
MAP3K11
HES1
SGK1
STAT5A
CXCL3
JUND
IGFBP2
GIPC3
KCNJ2
HOXB2
SLC19A3
CSE1L
CD40
SRRM2
MAS1
ERN2
CD24
PPP1R2C
MT-CO2
MTCO2P12
COMT
SWINGN
THADA
TH
SAA1
OLR1
IFNA1
IL2
TIMP2
TFAM
MPO
PTGER1
EXOSC10
TMED7
NPPA
NOS2
HSP90AB1
HDAC9
ZNRD2
H3P23
DCTN6
ETV6
ITLN1
IFI27
RPS6
SELENBP1
PAK2
MBL3P
PSMD9
FGF21
CPED1
CD19
CLEC4E
CYP2B6
PLXNA3
GULP1
FCRL2
AFDN
FOS
CD34
CASP9
ANO9
TOP1
CLEC5A
PDZK1IP1
IL13
CFP
POLR3K
PLEC
HLA-DPA1
HS6ST1
PTGER3
AKR1C1
CARD11
YAF2
NRG1
OSM
PRKCG
SERPINF1
POLR3B
PRKCB
POLR1C
SRD5A3
TREM1
IL15
HS6ST2
BCKDHB
PRRT2
MECP2
HDAC6
ODC1
FKBP8
RB1
AIRN
ACHE
CEROX1
CACNA2D3
VNN1
IARS1
DDX3X
MAP1LC3A
ETFA
LIMD1
PANX1
CGAS
ANOS1
FCGR3B
BLVRB
FCGR3A
TFRC
H3P10
GSDMB
HSD17B12
SERPINA12
MS4A1
KRT20
GPR27
NRGN
DSE
LONP1
IL1RL1
NFE2L1
MDH1
PDYN
USP9Y
KARS1
POSTN
SAA2
TESC
SALL1
MDH1
TPH1
IL37
PDYN
HAMP
POSTN
KARS1
ACSL6
RPS6KB1
SAA2
LONP1
NFE2L1
USP9Y
TMEM176B
CD86
JPX
TMEM273
HBB
SAP30
MYO15B
CXCL5
C3AR1
ABLIM3
GMPR
ITGB3
CLU
S100B
