PCOSfromOpentarget
PSAT1
SLC2A4
PROS1
NPEPPS
PLAG1
FGF21
STAT3
SPP1
CD4
FBN3
ANGPTL2
PPARA
CGA
OXT
IL1B
CD274
GDF15
UCA1
NPY
RPL17
ZRANB3
NLRP3
GSTM1
PGF
HP
PRDX4
LOX
ERFE
TRIB3
HOXA10
GPT
C1QTNF5
ANGPT2
SREBF1
TAS2R13
CAPN10
EGFR
GPC4
SNCA
APOC3
MTOR
CFTR
INSL5
SAA1
MAPK1
DRD2
UBE3A
CD44
SPX
XIST
TPO
AHSG
GAS5
CXCL10
BDNF
AMHR2
ANGPT1
CD8A
PDCD1
GPX1
CX3CL1
RPL17-C18orf32
SPATA2
FGF19
HBEGF
ACE
SOCS3
PDYN
NPPA
SDC1
APOE
EGF
KIT
ANGPTL4
HSP90B1
TAC3
IL6R
STC1
GJA1
SOD1
PLG
MFRP
APOB
PWRN2
VIP
PVT1
PGRMC1
IL15
SGK3
KHDRBS1
FABP5
FFAR4
TCF7L2
TM7SF2
FHL2
SH2B3
BTG3
XIAP
ATG7
PGK1
GPHB5
IL1R1
HHIP
PPARD
SLC5A1
PNLIP
BMP6
USP25
USP25
VPS51
ADAMTS4
TERT
SERPINF1
SLC39A14
FGF2
ASAH1
GIMAP7
CCN2
SYVN1
CDC6
CAT
CBLN1
GDF11
OVGP1
CLDN11
EPHA7
ENO2
BOP1
SLC30A1
APOA5
ALB
CORIN
GAL
HSPA1A
CMKLR1
CASR
RNLS
DIAPH1
CASP3
IGF2BP2
HSPA4
PLIN1
CFP
CKAP5
AHR
FOXO3
STON1
APOC1
SNHG5
EDN1
PROK1
EPHX1
IGFBP4
WT1
FABP4
PHETA1
SIRT3
ADRB2
RPGRIP1L
PRKAA1
AKR1C3
CXCR2
C1QTNF12
RAC1
KISS1R
BBOX1
FDX1
GIP
MEG3
ERN1
SLC22A1
SULT2A1
SOST
SESN2
MAGEA11
CRYL1
IL11
HOTAIR
SIRT1
ENPP2
CASP9
CHI3L1
POU2F1
AGER
KITLG
FGF13
AVP
APC
POMC
HSP90B2P
CCR5
HMOX1
TOMM40
EGLN1
AKT2
ABHD2
CXCL12
PKP3
APLN
NOTCH2
PDK4
SFRP5
MOK
HLA-F
GFER
ATF4
RELA
APOA1
SERPINA1
LGALS1
CST3
SYT1
GORASP1
WNK1
PEA15
POSTN
VCAM1
PEPD
GLIPR1
FOS
FKBP5
TIMP1
IL37
CLU
CDKN1B
CHRDL1
LDHA
INHA
TLR4
PRKAA2
BMP2
PRKAB1
FUT1
ASIP
PLA2G7
APP
IL6ST
HAMP
VCAN
IGFBP3
STAR
CISD2
FADS2
HFE
THBS1
PTGS2
DLK1
KLF14
DHX9
SOD2
ITLN1
PITPNB
YTHDC2
IFNG
MT-CO2
MTCO2P12
BANCR
BGLAP
JAK2
IAPP
HIF1A
CCL18
FANCA
H19
APCS
REN
CEBPB
FANCL
CCL4
CASP1
ACE2
IL23A
MPO
INSL3
FOXL2
KL
PPARGC1A
IGF2
SPATA22
CYP21A2
ANPEP
PKM
NRG4
TMEM120B
KCNH7
C1QL3
SESN1
POMZP3
ZP3
GC
HK2
MCM6
MSH5-SAPCD1
MSH5
SERPINA4
MMP10
HSPB1
LTA
HSPB2
HSPB3
FMR1
TACR3
PAPPA
PCYT1B
RAD50
TIPARP
IL2RG
LINC00173
AZGP1
CDKN2B
CCL7
RPS26
MFN2
SERPINA12
CTLA4
SOHLH2
CCDC169-SOHLH2
PRH2
SPZ1
PRSS55
CRISP2
DDX20
TMEM37
PRLR
MAPK3
TNFSF11
LONP1
CAV1
GUF1
EDN2
ZBTB4
IL2
BECN1
WFDC2
AFP
BCL2
FOXO1
FGL1
TAF4B
DCD
GPR149
ACSL4
FZD1
GATA6
ADIPOR1
MAP1LC3A
HELQ
BAX
PXN
PCSK9
HSD17B6
TNC
CXCL14
JAG1
BAMBI
CDKN1A
GSTT1
FKBP4
SMIM20
CD19
IL1A
PTGER2
CIMIP2B
CD40LG
DMC1
PRDM9
AQP4
SET
AQP8
SPO11
AREG
NR1H4
TMPO
PRDM7
H6PD
TBPL2
GAPDH
VWF
TLR8
PPM1K
MKI67
GAS2
HSD17B1
LMOD2
LCAT
ASPG
ASB15
DAPK2
STS
JUN
DKK1
CALM1
SYCE1
REC114
ADRB3
AFM
LHB
ACAT1
ENG
NRG1
B3GNT5
GREM2
PYCARD
EEF2K
NR2F2
GJA4
CPEB3
TERB2
CYP7B1
SMAD7
TF
PLA2G4A
DAPK1
PER1
HES1
SQSTM1
FANCG
NR5A1
MIR505
GCLM
HMMR
TNFRSF11B
CRHR1
XBP1
EZHIP
ATR
MAP2K6
ADA
YBX2
GRN
DEFA1
DEFA1B
NR2C2
ETS2
HSCB
PDGFRA
GADD45G
LIF
STMN1
OSM
MIF
CCKAR
HDAC5
FAAP100
NOBOX
CCND2
GAB1
PTCH1
NQO1
SELE
IL17A
IMMP2L
MTNR1A
APEX1
NR4A1
APOM
XRCC1
NUDT16
MAMLD1
BMAL1
STK11
MTR
VRK1
FDFT1
CNR1
HMGB2
KLF4
HSD17B4
LHX8
HEY2
CENPB
SIX6
CTSB
FDPS
TET1
IL4
SLC22A2
TLR2
CDX2
RENBP
PSEN1
RBX1
MMP2
OXTR
TXNIP
SH2B1
SRY
CASP6
POU2F2
DICER1
EPAS1
TINCR
ZP2
CFD
GPX3
SOX3
PAFAH1B1
HLA-DRB1
TMCO1
SIRT2
IL5
FBP2
CLOCK
NENF
SOHLH1
C1QTNF6
COMMD3-BMI1
DAZ4
DAZ3
DAZ1
DAZ2
DAZL
BMI1
CCL25
CCR9
ANGPTL3
ZP1
RUNX2
SCAPER
CXCL8
MOS
AGT
CPEB1
RSPO1
MAP3K13
CGB3
SUGP1
CDH5
EGR1
OAS1
LBP
ACAN
CDK2
HOTAIRM1
NGFR
DCN
C1QTNF3
ANGPTL6
MLH1
MAPK14
ZSWIM7
CGB1
CGB2
CGB7
CGB8
PABPC1L
CAPN2
KLF7
FBLN1
PIN1
DLAT
LATS1
CFH
GZMA
SCUBE1
KRT20
MS4A1
UCP1
GHRH
FABP1
CBFA2T2
CD36
CSF3
RBM45
TEX12
NHLH2
NLRP7
NLRP2
CHST8
FAS
SYCP1
KIF18A
MAD2L2
HFM1
PTH2
FXN
SLPI
SYCE3
ORM1
PTPA
NCOA3
RANBP9
C5
NSMF
EPHB2
PDK1
NSG1
H3P16
TCEAL1
NLRP1
ERAS
ERAL1
HDDC3
FAAH
CRH
RFWD3
HSPA5
INHBE
CDKN2A
LAMTOR1
LHX9
FAM170A
NCOA4
DND1
SYCE2
IGHE
ARRB2
PTH
SGPL1
OGG1
NANOS3
TIAL1
CYP1A1
GPER1
EFCAB5
FASLG
FIGLA
HSD11B1
FEM1A
STC2
MMP8
MSH4
PAK2
TMEM54
ADCYAP1
GSTO1
REC8
CDK4
PRKCA
VEGFB
LYN
DAZAP1
VDAC1
RHOA
ITGB1
CCNL1
DLGAP5
RSPO2
C14orf39
CD24
AQP9
LDLR
SRA1
SLITRK2
ACVR1
ZP4
CCDC117
XK
GPX4
HSF2
GDF2
MCM9
HMOX2
KASH5
HSPG2
GALP
GPR3
ZC3HC1
SLC2A1
MKRN3
MCM7
CRHR2
OGN
MIEN1
SMARCA2
TMED7
H3P23
DCTN6
ZNRD2
IFI27
PSMD9
GSTO2
KDM3B
TUBB8
TMSB4X
UGT2B15
MEP1B
SDC2
TGFA
TRPC5
ITGB3
MAGEL2
OLFM1
NFE2L2
ACTB
F10
MFAP2
CNTN2
CD38
AGTR1
GABPA
MAP4K4
ARHGAP4
COMT
PLCG2
MRO
BTF3P11
MAP3K4
GFUS
PSMD6
PDCD4
HDAC9
EIF2AK3
CFHR5
UCN3
IGF1R
CHST3
GZMB
METRNL
ESM1
YTHDF2
PMAIP1
IGFBPL1
NPR1
DBP
CD55
TPM2
DEFA3
OR10A4
SETD2
RHOG
TTR
ENPP1
FTH1
SFRP4
CACNB3
SMYD1
ORAI2
OPN1SW
FIG4
IL22RA2
RTL10
NPHS1
EYA1
ORAI1
PARP1
FBN1
NR5A2
TGFBR2
AGO2
MDM2
EFCAB8
TSPO
P2RX5
UCP2
PPIB
MIGA2
ANXA6
CHIT1
MMP26
FERMT2
SLC18A2
HCRT
MT-RNR2
FADS1
CHKA
CMPK1
CHKB
USP34
S100A6
HSPA1B
LHX2
DDIT3
MAP2K1
APPL1
CD34
ALMS1
OCA2
PLAT
TUBA1C
GLI1
CCL3
COL11A2
TMEM102
HNF1A
NOS3
GTF2H1
NUP62
DCTN4
GREM1
SMAD3
MANF
SLC7A11
KAT5
PYY
BRCA1
HSD3B2
ATG5
ARHGAP9
CYBB
EREG
PIEZO1
SERPINB2
PPARGC1B
TIMP2
LIPE
TMPRSS11D
ROPN1L
ASPA
ASPM
A1CF
GSK3B
AHRR
CRIM1
PLAU
TLN1
S100A8
HDAC1
TFAM
IKZF2
PDP1
HDAC6
PATL2
C5AR1
TGFB2
ADM
SMAD4
CCKBR
FOXK1
STXBP3
MIGA1
FCGR3B
FCGR3A
COL18A1
PCNA
FABP2
HDAC2
ADIPOR2
CPXM1
AQP7
DNMT1
BMPR2
SORBS1
GSR
MAPK8
PFKP
NPPB
GGT1
PON2
C1QTNF9
VLDLR
IDH1
UCN2
SEMA3A
AHSA1
CRK
POLDIP2
GRAP2
RNF19A
AIMP2
LRP1
C1GALT1C1L
ARID1A
DUOX1
PRF1
BMPR1A
JDP2
CCK
STIM1
SNAP23
SYNE1
XPO5
TIGAR
HPGDS
HOXA11
TG
GOPC
FBLIM1
CD14
LPP
HSD3B1
FGF23
BRCA2
TNIK
VTN
ACSL5
BNIP3
FOXP3
AP1G1
ERCC2
RAD51
ANO1
YY1
ZNF410
GOT1
SLC17A5
NRIP1
SMO
PAX6
G6PD
SAA2
FZD4
MC2R
TIMP3
SLC5A7
FN1
CAMK2B
STIM2
CASC15
TNFSF10
CCL27
ATRNL1
ASRGL1
PDLIM3
NAT10
ALPP
ESRRB
CXCL13
TUG1
BMP4
WNT5A
METTL3
CALCA
GLRX2
CDKN1C
ARID4B
XDH
NLRP12
LTBP1
TET2
RNASEK
SREBF2
MTNR1B
PNPLA3
PIK3R1
GSTA4
ALG2
LINC00477
GALR2
TRMT61B
ALYREF
DROSHA
ROBO1
XPA
DNAJB1
CEACAM3
PGR-AS1
CCRL2
CTSD
HAS2
LPA
PLIN3
CYP3A7
CXCL5
MDK
CYP2E1
PROCR
IGFBP7
MAP1LC3B
NR1H3
CYP1B1
PAEP
MAP3K14
MYC
SLCO6A1
GSTK1
FOXM1
IL36A
STK26
ZNF408
C4A
S100A9
ANXA5
TNFRSF1B
CMKLR2
CXCR5
S100A4
GGTLC4P
GGTLC5P
GGTLC3
IMPA2
SPPL3
GHR
ENHO
CYCS
BRD4
FEM1B
CBS
WNT1
CCN4
NEDD4L
SRSF2
S100A11
TRH
PTPRC
OTOR
MME
TP53INP2
SLC30A8
PLXNA3
CD28
PFAS
CTF1
ZNF557
EPO
CD93
PRAP1
CGAS
MBOAT1
DOCK8
STING1
RAD54B
NPR2
ZEB1
CYP2R1
CBL
LRP4
IKZF4
NTRK2
RTN1
PA2G4
CREBBP
CAPN5
LPIN1
HLA-G
KEAP1
UBC
IL34
FANCD2
MUSK
FLAD1
MEP1A
RAPSN
PKD1P6
PREP
VAPB
TNFRSF10B
MMP1
LPL
APLNR
BMP8B
NCOR1
HSPE1
VIM
TRPV1
IL33
CBX5
MTRR
SORT1
KCNJ11
MGST1
CTSL
GOT2
C1QL1
SLC6A4
CD163
LMNA
ITGAX
NCF2
HNF4A
HSP90AA1
PF4
MAS1
NIN
STX4
NOD2
NUDT1
TADA1
HRK
MYO1F
PTN
FNDC7
OLR1
SP6
NRP1
UROD
SMAD2
IL2RA
ATM
ISG20
MBL2
CCND1
TSHR
AGTR2
ABO
IRF7
SLC35A2
CCR7
ANGPTL1
NTS
ZFAS1
SLC6A2
RIGI
MIOX
DOCK1
TACSTD2
MTM1
MBD2
ORM2
ADAMTS9
SELENOP
DDAH1
MAP3K1
FURIN
IL32
KCNA5
MSH2
GNB3
S100A12
HHEX
CSF1
MC3R
DBT
AIM2
PLA2G1B
NCOA2
PRKN
SNORA62
SNORD12C
CST12P
ATP5PF
BCL6
KRT19
CYP2D6
UHRF1
ORAI3
KLF3
DNM3
IRF5
CTH
CDCP1
IRF3
PRNCR1
LIFR
PDGFB
TPM1
SST
SMAD1
SGTA
YY1AP1
IARS1
ACTA1
MUC1
SMN1
PDE4A
IL22RA1
TGFB3
IL27
PICALM
LAP3
ACP2
CPAP
CEBPA
HGF
SLC11A1
TGFBR1
ACACA
RAP2A
ULK1
SPRY4
LRPPRC
CASP7
CAP1
TSIX
SERPIND1
MAS1L
AVPR1B
ENTPD1
PYGM
BCKDK
AVPR1A
GUCY2D
CLTA
BCAT2
FASN
NRF1
BCL2A1
RNF6
IL18BP
YTHDF1
GREB1
KLB
PTK2B
TGFBR3
PM20D1
ERG
CYBRD1
FABP3
MZB1
GALNT2
TKT
KDR
NOTCH3
BIRC5
CNP
EZH2
SRD5A1
GALR3
NOS2
F8
JAK1
CS
HACD1
SERPINB6
LNPEP
ACHE
DHCR24
SLCO2A1
CHST11
PRKAR1A
GSTZ1
PRKCZ
GRAMD1B
IL1F10
SLC13A4
RAB6A
HSDL2
RPLP0
AURKA
CLEC4F
FMN1
HOOK3
NOS1
IRS4
CREB1
NFIC
PLB1
WNK2
C2
SELP
APOA4
GSDMD
AXIN2
WWC2
AKR1B1
GLI2
PTK2
WNT4
IL7
MS4A6E
DST
LGR6
AOC4P
AOC4P
HDAC3
JAG2
PCLAF
MAPKAPK5
GABRB1
UBE2E1
MC1R
SFRP2
MSS51
EIF2AK2
APOC2
WIPF1
ELOVL7
LALBA
SLCO3A1
METTL14
SRD5A2
NPPC
MAP3K5
C1R
HSPD1
RPS6KB1
HSD17B7
CPT1A
HSD17B2
GAA
BMS1
HPRT1
CD27
RASA1
TPT1
MBL3P
BHMT
SERPINA3
CEBPD
GNAS
IL25
TREM1
BRD3
CD2
KIRREL2
PDE8A
CIRBP
MGP
FZD3
NTRK1
INSL6
PECAM1
PINK1
ZEB2
ALKBH5
PRDX3
IGFBP2
ITGB2
MET
GDF10
ITGA4
CDH1
GYS2
COL3A1
ERBB2
GHRHR
CD80
INPP5K
COG2
ROBO2
CXCR4
PTGS1
CP
IKBKB
TBXT
TYMS
TBXAS1
CACNA1C
TFRC
CYBA
PPP1R3A
SP1
MUC16
NBR1
CPT2
ZFP57
PTER
PHLPP1
MYCL
SNW1
SPHKAP
LDHB
MYH9
PLEKHM2
NFKBIA
GOLGA6A
RCBTB1
WNT2B
HK1
CCL11
CYP11B2
CXCL11
CHPT1
ADAR
DHRS9
PTPN1
GCLC
SELL
HSPA14
PLGRKT
COX8A
HAPLN1
IL12B
CMIP
TEK
RECQL4
DLD
ADAMTS5
NOTCH1
MIAT
ART4
WNT7A
NF1
FOXA1
PRH1
TACR1
ADRA1D
YWHAZ
IHH
YWHAQ
LPCAT1
PDE4D
KCNN3
SLC39A9
ERCC1
SORCS1
ZDHHC17
PCYT1A
NTSR1
PLN
ADM2
PRDX1
SERPINA6
COX4I2
CCR2
MYD88
COX4I1
DNM1L
PSAP
SLC16A6
ELN
SORBS2
KHDRBS3
MEF2A
EIF4E
ALOX15
FGFR1
SOAT1
PCBP4
AMBP
OPN1LW
FOSL2
WNT2
PAG1
RPL13A
MCL1
PDCD5
ATP5MK
IL13
MAPK9
CDCA4
DRD3
CPOX
COX5A
LEAP2
F3
P2RX7
TBC1D8B
FTX
GTF2E2
CPT1B
KLRD1
SYBU
CLPP
ADAMTS19
LRP5
PLOD3
GDI2
VTI1A
FES
HMGCS2
PI3
WDR43
NOP10
GAS1
GTF2E1
PROM1
HAUS6
ARHGAP22
DANCR
ATF2
BCKDHA
SERPINB9
SOCS1
OPN3
PCAT14
RABL6
HMBS
SLC33A1
NPR3
LPAR1
MIR1915HG
PRKCQ
MKLN1
TUT4
ANXA2
KIFBP
NOX4
TH
UTRN
DENR
CRMP1
SPTLC2
MCF2L2
GLRX
IDE
CCL5
PLA2G2A
LPO
VSX2
UBE2N
ACSS2
FOSB
SNAI1
KRT8
PAPSS2
JUNB
GULP1
HBA1
CYP24A1
DHRS11
JUND
TRAC
CARD8
PRKAG3
BACC1
TRAF2
SLC26A8
POP4
ICAM3
CBX2
RNASEK-C17orf49
VAV1
GBP3
ANKRD1
CYRIB
CYP27B1
IGKV1-16
TREML1
WNT3
ADRA1B
CTNNB1
NSDHL
CCN1
PNPLA2
SCD
TRAV29DV5
VCL
TRAJ60
NR4A2
MECP2
GTF2A1L
CFB
CST4
SLC6A8
ZNF185
NOX1
GNAT3
IGF2R
WNT3A
SERPINF2
YWHAE
INHBA
TNNT1
PTBP1
SULT1E1
ARHGEF7
AGRP
AIF1
ARF6
BSG
SFRP1
SOS1
ENO4
CHM
SPARC
GPBAR1
PLEK
CYP27A1
GNB1
SF3B1
FUT10
ALDH1A1
MYL6
NEURL1
SPINK9
GPD1L
TUBB8P8
SLC52A2
GATA1
ASXL1
RBP1
NEU1
ELK3
LMNB1
HOTTIP
WNT8B
TREM2
VEGFC
CUL3
C16orf82
EPHB1
FGF7
HCP5
PNO1
MAK16
RBMS3
SRRM2
PPP1R12C
PPP1R13B
PIK3R2
PKD1
AKT3
MSX1
POR
PCSK1
ATF6
RAG1
CLDN5
ROCK2
IL15RA
ELAVL2
SNHG7
CIB1
TPD52
KRT16
CD9
MMP14
LPAR3
INSIG1
IL10RA
CDK1
YTHDF3
MUC5AC
GAD1
KNG1
HSP90AB1
PSMA6
CYP2B6
COPA
SEPSECS
MAPT
MYO10
SF1
EDNRA
PPIG
NMUR1
SERPINC1
CXCL1
LIPC
DNAH5
MBNL2
SLC4A1
DCBLD2
TRIM25
HLA-F-AS1
EIF3M
GGA3
UGT2B7
COX6B1
PPIF
RASGRF1
HDC
LUM
PTGER4
TRIM25
GLI3
CALCRL
ELOC
DLG2
PPP2R5A
CRYGC
RNF7
MBNL2
STT3A
SLC4A1
TERF1
ITIH4
WNT10B
PXDN
EIF3M
RTKN
MT-CO1
CSF2
BMP7
CALR
GGTLC1
FOXP1
ARNT
LAMC2
RBPMS
CCN5
GPR151
MRGPRX1
GPRC6A
OXER1
MRGPRX4
GPR166P
MRGPRX3
IL9
HLA-A
SSB
DNAH8
TIMP4
ETS1
GCK
LAMB2
CCNB1
CHRM3
FIS1
FADS3
PDGFRB
F9
PRDX6
PRDM2
NPY2R
WTAP
MST1
GPR173
PRTN3
UQCRC2
CD69
COMP
CD74
SNHG8
SOD3
YTHDC1
TNFAIP3
FAM215A
MLLT10
POLR2D
RPRD1B
HLA-B
EIF2A
JUP
ENOPH1
CD68
KLF1
KIR3DL2
SMURF2
SLC5A9
ATG2A
TMPRSS13
LMLN
SDHD
MC5R
MYO3A
ZMIZ1
B2M
GALR1
TWIST1
FOXA2
SLC31A1
MSMB
GPM6A
TLR1
FADD
RNPC3
CD1A
TRIM21
RO60
TACR2
HSD11B2
PDIA3
MAPKAP1
RPTOR
HAS1
KCNH1
MIP
ELAVL1
CYGB
ANXA1
CDK20
CASP8
EPB42
ACVR2A
NRCAM
AOC1
ENSG00000280371
MACROD2
ENSG00000279284
DLST
PRDM16
MARK4
OPRK1
KLK2
SLC2A3
IDH2
IDH3A
SNORA73A
BCHE
CLN5
CETP
SLC2A2
PLA2G6
PAK3
CCDC6
ILK
A1BG
FGD4
ATP5F1A
KCNQ1
WWTR1
IDO1
ISYNA1
MARK2
FGF10
SLC25A18
EPHA5
WDFY2
AKAP5
SRSF1
HKDC1
PSG2
FGFR2
CD1B
TCF21
MMUT
GUSB
DLL1
RCAN3
CCDC71L
NOS1AP
SLC19A4P
SNHG15
AMOTL1
FBXO7
STXBP2
SNHG21
DDR2
SLC27A6
IBSP
PAGE4
LTB
ZNF654
JMJD1C
CD82
UPF2
RPS6KA1
SNHG25
GGCT
GMDS
TNPO1
NNT
PLCXD3
NGEF
SLC19A4P
ALKAL2
HCAR2
APELA
FAM110C
PEX3
LINC01116
COX15
SNHG9
PROS2P
ESRRG
PPP2R2B
MMP17
ATP8B1
ACP5
SNHG16
DLL3
UTS2
NEK7
GPAT3
HNRNPC
KIAA0040
CDH17
RYR3
NBPF1
GPI
SRSF10
CD33
ENPP3
FGF12
RGS6
AGFG1
PROC
SNHG19
ASIC2
IPO8
ZAP70
SLC16A4
FZD5
SNHG1
PPBP
LINC00910
ASPN
ANKFN1
HELLS
CCL17
PCSK7
MKNK2
NCK1
AAAS
BFSP1
LRRC1
RIF1
MRPL41
VSIG10
LIG4
POLR2A
SNRPD2
TPR
SKIDA1
HSD17B3
HNRNPL
MAP1B
LRRTM4
SNHG20
SYN1
CR2
LRRK2
OVOL2
CDH2
CCDC144A
CCDC3
SLITRK6
IGKV1-27
CEACAM5
WASF1
NUS1
ALDH2
SLC16A3
DIRAS3
PRIM1
CEACAM1
SNHG17
MTF1
ADGRF5
SLC46A2
LILRA5
HSPB8
FREM1
CIDEA
SLC12A8
CHST4
BCO1
TRAF6
CEACAM7
NDNF
EPHA6
IGHG3
FLOT1
CD1C
CDC42EP4
B3GAT2
LRP2
HMGCL
KIR3DL1
GEM
GSS
RAB8A
PRP4K
CDK16
PBK
ERN2
CDK16
CILK1
TLK1
PBK
CDH13
H4C2
H4C11
H4C1
H4C4
H4C8
TCHP
RNU1-4
H4C15
H4C6
H4C5
H4C3
GLUD1
H4C12
H4C14
H4C9
H4C16
H4C13
RB1
CYP51A1
SVEP1
TNFRSF12A
ATF3
ATP12A
UBA52
UBB
RPS27A
TXN
THBD
NCAM1
HPS1
DIAPH2
NELFCD
ACVR2B
ITGB5
AP3B1
TNFRSF1A
CKB
ABCA1
COL1A1
CXCR1
COL1A2
PSMC6
PTCH2
NR1D1
HIF3A
RHCG
PRDM5
ECI1
PHB1
KRT18
OAZ3
POLR3A
MT-TP
BBS2
SCN2A
ACTR1A
SPAG8
SKAP2
APPL2
POLR1B
C1QA
TIA1
GNMT
ADARB1
RPL13
AKAP8
CDKL1
NUP43
ELANE
RNU1-1
CHRM2
SRPX2
XCL1
SPRY2
H3P30
CTBP2
BMP1
NBN
DACT2
TNFSF13B
UGDH
MITF
MTTP
SIGLEC12
PTRH2
SCARB1
AQP11
MPC1
COL8A1
PGD
PLTP
IL1RN
GK
TXNRD1
DDIT4
CD86
HCRTR1
IL16
RICTOR
COX4I1P1
TRIB1
HBA2
HBB
LEPROT
OPA1
ATP7A
MFN1
TNFAIP6
SUMO1P1
ID3
SDF4
CFI
ADAM17
PLK1
ID1
CRHBP
CD200
SRXN1
PODXL
NFYA
GTF2H2
AKR1B10
GNS
STAT1
GEMIN2
H3P33
ANG
NHERF2
KLF2
TDO2
SCAF11
ROR1
GAS7
BRAF
CAV2
PHF21A
NR1D2
BFAR
PKD1L2
IFI44
WDR77
MMP7
DLX3
ATG9A
IL7R
MAP3K8
PRDX2
PLXNA2
PCK2
CAPG
CD46
OCLN
IFNA1
RPL37A
MTAP
GATA3
FGFR3
SLCO1A2
IL17F
ITPR3
ACOT2
ITPR1
HTR1A
PCK1
GSK3A
ATG3
HSD17B13
IL18R1
TSPAN8
FLOT2
CD40
EBI3
PER2
A2M
HRAS
ADAM9
GSTM2
TOP1
VIT
NOG
RET
FDXR
CDC27
NEDD9
P2RY2
RPL36A
ADGRB1
CDKAL1
DIO2
SRGN
MVK
TERC
CNPY2
TSPYL5
RBM15
MRPL22
MRPS11
ISG15
DCAF12L1
PARVG
RFC1
SEC13
SLC5A4
CALML4
RAB4B
VNN2
RPL26L1
ZFP36
HSPB6
RUNX1
DVL1
HES4
PPP2R1A
MRPL17
CYP26A1
KCNJ15
MRPL16
PHKG1
CTSW
ADCY3
PPP1CC
SGCD
PLA2G5
GAD2
CD79A
CXCL3
DNM2
E2F1
PDGFD
WEE1
TLR9
MFSD11
HSPA9
PCYT2
KRT8P3
CHUK
COL5A1
CCL4L2
ERRFI1
RAB5A
HLA-DRA
MT1A
ITGAM
KRAS
FLT1
ACADM
ITGAV
FMO5
HNRNPA2B1
BAD
PRB3
ECM1
MT1H
MT1E
SIGLEC11
MT1X
STXBP1
SLCO2B1
ATG14
MT1IP
MT1G
CZIB
NPAS2
SLC6A3
PTBP2
MCAT
MT1F
MT1JP
ALG1
TFAP2A
MT1B
NFKB2
MT1M
PDC
CXCL2
MAOA
FAP
DNMT3A
IGFBP6
ADRA1A
DMAP1
PRELID2
MMP3
SYN2
CDH15
MAP4K1
NCOA1
GRB2
SRC
ADCY1
DAO
CSF3R
CCL22
ID2
C4B
ADCY1
MAP4K1
BCL2L1
KLF15
CRYGS
HLA-C
VAC14
FH
BLOC1S6
TPI1
IL3
SGK1
MT-RNR1
MMP12
GLUL
AMY2A
MT-CYB
SLC38A11
GAST
NRSN1
MAK
ERCC8
MYOCD
P2RY13
TPPP
MYL12B
CDH18
CITED2
SNHG14
LIPH
FBXO30
RAF1
C1QBP
IRAK4
DERL1
HYCC2
CYP4F3
CDK6
FEZF1
SNAP25
PC
ITGA9
GLS2
PAGR1
SCYL1
DAB2
H3P40
ABCG5
RNASEH1
ST6GALNAC1
CSH1
CARTPT
SRF
GALNS
CHRNA1
ATF1
GSTM3
GHSR
AGA
CD6
UGT2B17
HLCS
TM4SF4
ZNF383
CAPN1
GLA
S100P
RNASE1
POLD3
STX6
H3P19
POLE3
BCKDHB
BCL2L15
SGF29
BGN
CHP1
SMAD6
